name,country,room_type,nr_nights,date,traveler_type,title_review,pos_review,neg_review,hotel_response,score
Anonymous,Sweden,Budget Double Room,1 night ·,May 2025,Couple,Passable,Location,Too hard beds. Terrible,,5.0
Roneo,Brazil,Budget Double Room,2 nights ·,April 2026,Group,Ótima experiência,Excelente localização e os colaboradores muito atenciosos,Nada para apontar,,9.0
B,Portugal,Budget Double Room,3 nights ·,April 2026,Couple,Muito Boa . recomendarei o hotel a colegas amigos e familia,Pequeno almoço com tudo o que era necessário muito bem servido e com qualidade Atendimento muito atencioso e procurando sempre resolver dúvidas e solicitações A localização excelente,A cobertura de protecção da cama muito barulhenta tivemos de a retirar pos não deixava dormir . As almofadas de arranjo da cama cm excesso de perfume,,8.0
Ilaria,Italy,Budget Double Room,6 nights ·,April 2026,Couple,Superb,"Struttura pulita e curata, colazione varia e di ottima qualità, posizione perfetta per visitare la città. Nessun aspetto negativo. Hotel consigliatissimo, tornerei sicuramente!",,,9.0
Antonia,Spain,Budget Double Room,3 nights ·,April 2026,Couple,"Limpio, confortable y bien ubicado",Ubicación y confort,,,8.0
Jeanette,Sweden,Twin Room,2 nights ·,March 2026,Couple,Good,Läget mitt i city. Nära till allt.,Stenhårda sängar,,7.0
Juan,Spain,Triple Room,1 night ·,April 2026,Group,Very good,Ubicacion,"El tipo de cierre de las habitaciones y que recepcion no este en entrada al hotel, supongo que habrá camara pero no es lo mismo...",,8.0
Cintia,Spain,Budget Double Room,3 nights ·,April 2026,Couple,Bien situado y muy limpio,Hotel muy bonito y muy bien situado y muy limpio,Se escuchaba mucho el ruido de los aires acondicionados y la cama no muy cómoda,,8.0
Samymj,Italy,Basic Double Room,3 nights ·,April 2026,Couple,Scelta perfetta,"Posizione ottima, per visitare la città. Arredamento vintage delle aree comuni che da un tocco in più. Buona colazione anche con opzioni vegane.",Polvere sui mobili della stanza.,,9.0
Felipe,Colombia,Budget Double Room,2 nights ·,January 2026,Couple,"Ambiente, comodidad y buen servicio, para disfrutar de Porto!!!","Es un hotel con un encanto y temática especial. Muy bien ubicado, con buenos restaurante alrededor y atractivos turísticos a los que se puede ir a pie.",,,9.0
Lorena,Spain,Triple Room,3 nights ·,April 2026,Group,Cercanía y comodidad,"Está céntrico, el desayuno muy variado y organizado, el personal de recepción muy educado, habitación grande (éramos matrimonio y niño) aunque nuestra cama algo justa","Podía estar algo más limpio. Había polvo acumulado en las repisas de las ventanas del baño, la ducha no estaba bien limpia al volver, bastante correcto pero para el precio considero que podría mejorar algo",,8.0
Jorge,Argentina,Budget Double Room,2 nights ·,April 2026,Couple,Superb,La atención del personal fue excelente,,,9.0
Dlhoz,Spain,Budget Double Room,3 nights ·,April 2026,Couple,Very good,"La ubicación es excelente, cerca de todo lo interesante del centro.su servicio de limpieza muy bueno bien por el personal de limpieza.",,,8.0
Rosa,Spain,Triple Room,4 nights ·,April 2026,Group,Hotel Céntrico con mucho encanto,"El servicio, la limpieza, el estado del hotel y su ubicación. El personal muy atento y profesional.","Nada, todo perfecto",,9.0
Yannick,France,Budget Double Room,4 nights ·,April 2026,Couple,Superb,"L’emplacement, la deco, l’accueil",,,9.0
Yuyuan,Canada,Budget Single Room,1 night ·,March 2026,Solo traveller,挺好,很好的早餐,,,8.0
Elena,Spain,Budget Double Room,4 nights ·,April 2026,Couple,Repetiría,La ubicación es inmejorable; céntrico y con muchísimos restaurantes y bares a los que ir.,"El Wifi no funcionaba bien. El minibar hacía algo de ruido y por las noches se notaba mucho. Como en el cuarto de baño no había persianas, la luz se colaba en la habitación y era algo molesto.",,7.0
Carlos,Spain,Twin Room,3 nights ·,April 2026,Couple,Very good,Buen desayuno y situación perfecta,,,8.0
Fedele,Germany,Triple Room,2 nights ·,March 2026,Group,"Super Unterkunft, preiswert, sauber, Preis-/Leistungsverhältnis passt","Großzügige, saubere Zimmer Sehr nettes Personal Leckeres Frühstück",,,9.0
Escobar,Spain,Budget Double Room,3 nights ·,March 2026,Couple,Excelente Opción para quedarse en Oporto !!!,"Está súper bien ubicado. El tamaño de la habitación es muy bueno, su personal muy atento y el sitio es muy acogedor.",Yo sugeriría mejorar un poco la calidad de las Toallas.,,8.0
Catharina,Brazil,Family Suite,4 nights ·,March 2026,Family,Hotel bem localizado,"Café da manhã maravilhoso, excelente localização, funcionários simpáticos.","Cama dura, travesseiros finos, a tv se ligava sozinha todos os dias às 5h da manhã, as lâmpadas não funcionavam direito, os controles do ar e da tv com mau contato. O hotel é bastante antigo e precisa de manutenção.",,7.0
Guillermo,Spain,Budget Double Room,2 nights ·,March 2026,Solo traveller,Very good,Excelente ubicación en el centro de Oporto.,Larga espera a la hora de hacer el check in en el hotel. Un poco lento el personal.,,8.0
Anna,Germany,Family Suite,2 nights ·,March 2026,Family,"Top Lage,nettes Personal,Preisleistungsverhältnis ist super.","Alles war gut.nettes Hotel,sehr centrale Lage, die Zimmer sind groß und sauber",Laute Geräusche vom Klinaanlage.so dass man leider die Fenster nicht öffnen kann. Geruch nach Waschmittel im Bad.,,8.0
Florinda,Portugal,Superior Double Room,1 night ·,March 2026,Family,foi confortável,limpeza,,,9.0
Patrik,Sweden,Twin Room,3 nights ·,March 2026,Couple,Superb,Grym frukost!,Kuddarna i sovrummet,,9.0
Ana,Spain,Budget Double Room,2 nights ·,March 2026,Couple,"Excelente ubicación, amplitud de la habitación, limpieza, comodidad y desayuno.","La localización estupenda, ambientación muy curiosa. Todo el mundo muy amable. Un desayuno excelente, con mucha variedad, calidad y cantidad. La habitación era muy amplia, todo muy limpio.","Por señalar algo, quizá más ruido del esperable, pero esta cerca de una zona de fiesta (no al lado). El olor de ambientador a la entrada es demasiado intenso. El baño sólo se separa de la habitación por una mapara gorda, pero no supuso gran problema. La WiFi funcionaba regular en el piso 6.",,8.0
Kevin,France,Budget Double Room,4 nights ·,March 2026,Solo traveller,Very good,Confort du lit Localisation de l'hôtel dans la ville Décoration atypique.,Le bar lounge était malheureusement fermé et indisponible,,8.0
Ana,Portugal,Family Suite,1 night ·,March 2026,Group,Very good,A decoração do hotel é muito gira! Pequeno almoço maravilhoso!,,,8.0
Iva,France,Superior Double Room,3 nights ·,March 2026,Couple,Très bon séjour.Petit dej à améliorer.,L’emplacement.La chambre avec la terrasse.La déco vintage,Le petit déjeuner.Tres peu de choix.Le Jus d’orange très chimique.Le café pas top.,,8.0
Bernhard,Austria,Superior Double Room,3 nights ·,January 2026,Couple,Optimal für einen Städtetrip nach Porto,"Drei angenehme Nächte in diesem schönen Innenstadt-Hotel verbracht. Zentral gelegen, U-Bahn und Sehenswürdigkeiten alle in Gehweite. Das Hotel hat seinen eigenen Charme und ist interessant dekoriert. Kaum Verkehrslärm in unserem recht großen Zimmer, kostenlose Gepäckaufbewahrung vor Check-in bzw. nach Check-out war problemlos. Haben uns wohl gefühlt in diesem Hotel.","Der Frühstücksraum hat keinen Charme im Vergleich zum übrigen Ambiente des Hotels. Die Auswahl war grundsätzlich ok, hat aber noch etwas Luft nach oben.",,8.0
Stephan,France,Budget Double Room,1 night ·,March 2026,Couple,Very good,"Hôtel bien situé , chambre très propre , personnel agréable , et déco vintage .",,,8.0
